"","X.31","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29","X.30","Class","X1","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X1.10","X1.11","X1.12","X1.13","X1.14","X1.15","X1.16","X1.17","X1.18","X1.19","X1.20","X1.21","X1.22","X1.23","X1.24","X1.25","X1.26","X1.27","X1.28","X1.29","X1.30","X1.31","X1.32","X1.33","X1.34","X1.35","X1.36","X1.37","X1.38","X1.39","X1.40","X1.41","X1.42","X1.43","X1.44","X1.45","X1.46","X1.47","X1.48","X1.49"
"149",149,"144","13.917","137.9399","Unknown","[M-H]-","","0.34","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","28.93","190715_Std_4uMStdsMix1InMatrix_2","137.9399:2284627 138.94325:2233637 139.94661:0","","137.93991","137.93991","137.9399","137.9399","137.9399","137.94002","137.9399","137.9399","137.9399","137.94","137.9399","137.9399","137.9399","137.93987","137.9399","137.9399","137.9399","137.9399","137.9399","137.9399","137.9399","137.9399","137.9399","137.9399","137.9399","137.9399","137.93996","137.93993","137.9399","137.93985","137.9399","137.9399","137.9399","137.9399","137.9399","137.9399","137.93991","137.9399","137.93988","137.9399","137.9399","137.9399","137.9399","137.9399","137.9399","137.9399","137.93985","137.93983","137.9399","137.93982"
"150",150,"145","8.432","138.87436","Unknown","[M-H]-","","0.64","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","2873.35","190715_Smp_FK180310S64C1-25m_B","138.87436:1714366 139.87771:0 140.88107:499158","","138.87439","138.87437","138.8745","138.8746","138.88918","138.87436","138.87447","138.87436","138.87442","138.87454","138.87436","138.87436","138.87436","138.87448","138.87436","138.87462","138.87434","138.87436","138.87436","138.87436","138.87428","138.87445","138.8744","138.87436","138.87439","138.87448","138.8745","138.87436","138.87436","138.87451","138.87436","138.87445","138.87444","138.87436","138.87453","138.87436","138.87427","138.87424","138.87436","138.87457","138.87436","138.87436","138.87451","138.87436","138.87436","138.87436","138.87451","138.87436","138.87427","138.87436"
"151",151,"146","12.829","138.93669","Unknown","[M-H]-","","0.32","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","57.68","190715_Poo_TruePooFK180310_Fullneg120","138.93669:1491284 139.94004:0 140.9434:57397","","138.93669","138.93669","138.93669","138.93703","138.93669","138.93712","138.93712","138.93687","138.93697","138.93669","138.93669","138.93669","138.93661","138.93669","138.93669","138.93669","138.93692","138.93706","138.93669","138.93669","138.93669","138.93669","138.93695","138.93669","138.93669","138.93698","138.93669","138.93669","138.93694","138.93669","138.93669","138.93658","138.93669","138.93669","138.93669","138.93669","138.9369","138.93683","138.93669","138.93669","138.93669","138.93669","138.93669","138.93669","138.93669","138.93669","138.93669","138.95181","138.93669","138.93669"
"152",152,"147","6.276","139.01561","Unknown","[M-H]-","","0.36","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","5.93","190715_Smp_FK180310S62C1-DCM_B","139.01561:383695 140.01896:0 141.02232:0","","139.01561","139.01566","139.01561","139.01555","139.01561","139.01561","139.01561","139.01561","139.01558","139.01561","139.01561","139.01561","139.01561","139.01552","139.01561","139.01561","139.01556","139.01559","139.01561","139.01561","139.01561","139.01547","139.01564","139.01558","139.01559","139.01564","139.01569","139.01559","139.01561","139.01561","139.01561","139.01561","139.01561","139.01561","139.01561","139.01559","139.01555","139.01561","139.01561","139.01559","139.01561","139.01561","139.01561","139.01561","139.01561","139.01561","139.01561","139.01556","139.01561","139.01561"
"153",153,"148","3.586","139.03143","Unknown","[M-H]-","","0.32","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","26.26","190715_Smp_FK180310S77C1-25m_B","139.03143:3022614 140.03478:169020 141.03814:0","","139.03143","139.03139","139.03136","139.03142","139.03143","139.03143","139.03143","139.03143","139.03143","139.03146","139.03143","139.0314","139.03146","139.03143","139.03143","139.03143","139.03108","139.03151","139.03143","139.03143","139.03143","139.0316","139.03143","139.03143","139.03143","139.03143","139.03143","139.03143","139.03139","139.03143","139.03143","139.03143","139.03143","139.03137","139.03134","139.03143","139.03143","139.03136","139.03139","139.03143","139.03143","139.03143","139.03143","139.03143","139.03143","139.03143","139.03143","139.03143","139.03143","139.03137"
"154",154,"149","8.331","140.87148","Unknown","[M-H]-","","0.22","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1656.88","190715_Smp_FK180310S64C1-25m_B","140.87148:514344 141.87483:0 142.87819:0","","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87129","140.87148","140.8716","140.87148","140.87148","140.87148","140.87148","140.87155","140.87148","140.87148","140.87148","140.87155","140.87167","140.87166","140.87148","140.87148","140.87148","140.87148","140.87148","140.87155","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148","140.87148"
"155",155,"150","7.683","140.91833","Unknown","[M-H]-","ion correlated with 156","0.96","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1554.17","190715_Poo_TruePooFK180310_DDAneg35","140.9184:4584622 141.92175:0 142.92511:5086039","53.96531:6590 54.82933:6358 70.09187:8188 70.61214:6550 74.28907:6165 74.99264:128563 78.91769:10280 80.44341:7190 80.91583:8864 98.55543:7994 107.52716:7118 141.06561:7466","140.91833","140.91833","140.9183","140.91844","140.91847","140.9184","140.91843","140.91832","140.91832","140.91841","140.9183","140.91837","140.9184","140.91827","140.91838","140.9184","140.91835","140.91832","140.91829","140.91846","140.91832","140.91833","140.91833","140.91832","140.91829","140.91837","140.91835","140.91833","140.91833","140.9183","140.91832","140.91835","140.9183","140.91829","140.91827","140.91833","140.91833","140.9183","140.91833","140.91837","140.91833","140.91833","140.91832","140.91826","140.91821","140.91829","140.91835","140.91821","140.91838","140.91826"
"156",156,"151","13.533","140.96463","Unknown","[M-H]-","","0.66","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","14.82","190715_Smp_FK180310S77C1-25m_C","140.96463:1351798 141.96798:251077 142.97134:437369","","140.97641","140.96463","140.97636","140.97647","140.96475","140.96475","140.9763","140.97629","140.96472","140.96463","140.96465","140.97644","140.96472","140.97641","140.96463","140.97647","140.96463","140.97643","140.96461","140.96463","140.96463","140.96463","140.97644","140.96463","140.96466","140.96466","140.96472","140.96463","140.97641","140.96463","140.96463","140.97641","140.97643","140.96463","140.96463","140.97633","140.96463","140.96463","140.97649","140.97644","140.96463","140.96463","140.97638","140.97629","140.96463","140.96463","140.97641","140.97633","140.97649","140.97629"
"157",157,"152","9.873","140.97491","Unknown","[M-H]-","","0.2","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","5.35","190715_Poo_TruePooFK180310_Fullneg60","140.97491:1287134 141.97826:0 142.98162:1292261","","140.97491","140.97491","140.96454","140.97491","140.96477","140.97498","140.97491","140.97491","140.96461","140.97491","140.97491","140.97491","140.97635","140.97491","140.97491","140.97491","140.96478","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.96471","140.97491","140.97491","140.97491","140.97491","140.96468","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.97491","140.96463"
"158",158,"153","9.296","140.97496","Unknown","[M-H]-","ion correlated with 9","0.74","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","30.78","190715_Smp_FK180310S64C1-25m_A","140.97496:3136371 141.97831:24227 142.98167:3281677","","140.97491","140.97496","140.97496","140.97501","140.97495","140.97495","140.97499","140.97482","140.97487","140.97498","140.97488","140.97495","140.97488","140.97487","140.97496","140.97507","140.97495","140.97485","140.97487","140.9749","140.9749","140.97488","140.97496","140.97485","140.97485","140.97491","140.97493","140.97493","140.97482","140.97487","140.97495","140.97488","140.97485","140.97482","140.97482","140.97481","140.97487","140.97484","140.97488","140.97487","140.97496","140.97496","140.97496","140.97496","140.97496","140.97496","140.97496","140.97496","140.97496","140.97496"
"159",159,"154","19.79","140.97713","Unknown","[M-H]-","","0.46","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","23.22","190715_Poo_TruePooFK180310_DDAneg35","140.96474:3006011 141.96809:379349 142.97145:421646","54.91391:6760 57.04538:7527 61.25823:6618 63.47609:6476 63.51757:7535 74.99266:681002 105.2018:8699 141.09155:7498","140.97713","140.97713","140.97713","140.96472","140.96472","140.96474","140.96472","140.97713","140.97713","140.96471","140.96463","140.96468","140.96465","140.97713","140.97713","140.97713","140.97713","140.96463","140.97713","140.97713","140.9771","140.97713","140.97716","140.97713","140.97717","140.97713","140.97723","140.97713","140.97713","140.9771","140.97717","140.97713","140.97713","140.97713","140.96454","140.97713","140.97713","140.97719","140.97713","140.97713","140.97713","140.97713","140.96465","140.97713","140.97713","140.97713","140.97713","140.97713","140.96471","140.96455"
"160",160,"155","19.599","141.96538","Unknown","[M-H]-","","0.36","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","9.57","190715_Smp_FK180310S80C1-25m_A","141.96538:421829 142.96873:600257 143.97209:0","","141.96545","141.96538","141.96538","141.96538","141.9655","141.96538","141.96538","141.96538","141.96536","141.96555","141.96538","141.96538","141.96547","141.96538","141.96538","141.96538","141.96538","141.96547","141.96538","141.96556","141.96538","141.96538","141.96542","141.96538","141.96544","141.96548","141.96548","141.96538","141.96548","141.96526","141.96542","141.96539","141.96538","141.96538","141.96538","141.96538","141.96536","141.96547","141.96538","141.96538","141.96538","141.96538","141.96538","141.96538","141.96538","141.96538","141.96538","141.96538","141.96538","141.96538"
"161",161,"156","7.705","142.91624","Unknown","[M-H]-","ion correlated with 150","0.94","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","16889.01","190715_Poo_TruePooFK180310_DDAneg20","142.91643:6693471 143.91978:247138 144.92314:56585","51.36975:6003 52.83934:6288 57.03347:8778 58.02996:6079 65.11238:8659 65.23788:7597 73.22081:7125 76.26223:6872 76.99018:52227 80.9157:14594 87.00766:30763 88.34933:6916 88.77114:6179 92.60625:8034 95.19331:6636 97.0647:12984 100.49362:7025 109.06383:7347 115.42206:7543 125.06029:8011 135.55089:6229 143.07027:17103 143.10683:53149","142.91629","142.91629","142.91629","142.9164","142.91643","142.91637","142.91638","142.91628","142.91632","142.91638","142.91634","142.91624","142.91637","142.91628","142.91629","142.91637","142.91632","142.91628","142.91629","142.91638","142.91629","142.91631","142.91629","142.91629","142.91629","142.91634","142.91634","142.91629","142.91624","142.91631","142.91631","142.91629","142.91626","142.91626","142.91624","142.91629","142.91632","142.91626","142.91631","142.91635","142.91624","142.91624","142.91628","142.91623","142.91628","142.91618","142.91629","142.91617","142.91634","142.91626"
"162",162,"157","19.649","142.96228","Unknown","[M-H]-","","0.36","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","9.75","190715_Poo_TruePooFK180310_DDAneg20","142.96228:600954 143.96563:0 144.96899:537266","","142.96228","142.96228","142.96228","142.96228","142.96228","142.9622","142.96228","142.96228","142.9622","142.96227","142.96228","142.96228","142.96222","142.96228","142.96228","142.96228","142.96228","142.96227","142.96228","142.96228","142.96201","142.96228","142.96216","142.96228","142.96222","142.96231","142.96242","142.96228","142.9622","142.9622","142.96214","142.96228","142.96228","142.96228","142.9621","142.96228","142.96234","142.96225","142.9622","142.96228","142.96228","142.96228","142.96228","142.96228","142.96228","142.96228","142.96228","142.96228","142.96228","142.96228"
"163",163,"158","9.771","143.07042","Unknown","[M-H]-","","0.44","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","4.08","190715_Smp_FK180310S64C1-DCM_C","143.07042:323802 144.07377:0 145.07713:288218","","143.07042","143.07042","143.07042","143.07042","143.07059","143.07047","143.07051","143.07028","143.07042","143.07051","143.07042","143.07042","143.07042","143.07042","143.07059","143.07054","143.07034","143.07042","143.0705","143.07042","143.07037","143.07042","143.07042","143.07043","143.07043","143.07053","143.07054","143.07042","143.07042","143.07034","143.07042","143.07042","143.07043","143.0704","143.07034","143.07042","143.0705","143.07037","143.07042","143.07042","143.07042","143.07042","143.07042","143.07042","143.07042","143.07042","143.07042","143.07042","143.07042","143.07042"
"164",164,"159","9.411","144.86882","Unknown","[M-H]-","","0.9","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","20748.6","190715_Poo_TruePooFK180310_DDAneg50","144.86884:1655632 145.87219:0 146.87555:1702665","52.65533:6287 53.4401:6556 54.75767:7679 69.90742:6366 71.9318:7091 83.04919:9480 90.23232:7542 91.4834:6867 92.95885:8769 95.77755:7417 101.05942:9681 101.99476:8592 103.23844:7436 108.50715:9145 114.38219:8177 114.51773:6842 121.21218:6258","144.86874","144.8687","144.86876","144.86887","144.86885","144.86882","144.86884","144.86868","144.86874","144.86882","144.86882","144.86887","144.86876","144.86868","144.86871","144.86887","144.8688","144.86871","144.8687","144.86879","144.86873","144.8688","144.86873","144.86876","144.86876","144.86882","144.86877","144.8688","144.86868","144.86873","144.86876","144.86879","144.86876","144.86867","144.86873","144.86873","144.86873","144.86873","144.8687","144.86877","144.86882","144.86882","144.86877","144.86867","144.86882","144.86882","144.86876","144.86876","144.86884","144.86871"
"165",165,"160","9.273","144.96898","Unknown","[M-H]-","similar chromatogram in higher mz_544","0.74","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","16.4","190715_Smp_FK180310S64C1-25m_A","144.96898:1002679 145.97233:0 146.97569:123136","","144.96901","144.96898","144.96919","144.96909","144.96909","144.96913","144.96898","144.96898","144.96898","144.96909","144.96898","144.9691","144.96907","144.96881","144.96907","144.96915","144.96902","144.96899","144.96899","144.96904","144.96899","144.96901","144.96898","144.96899","144.96896","144.96906","144.96904","144.96906","144.96895","144.96906","144.96896","144.96906","144.96896","144.96895","144.96896","144.9689","144.96901","144.96895","144.96899","144.96895","144.96898","144.96898","144.96898","144.96898","144.96898","144.96898","144.96898","144.96898","144.96898","144.96898"
"166",166,"161","10.118","145.06096","Unknown","[M-H]-","adduct linked to 101_[M-H2O-H]-","0.88","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","13.56","190715_Smp_FK180310S62C1-25m_A","145.06096:2362399 146.06431:86123 147.06767:64455","","145.06096","145.06085","145.06093","145.06105","145.06104","145.05135","145.05144","145.06096","145.06099","145.06105","145.06096","145.06104","145.06104","145.06082","145.06091","145.06096","145.06096","145.06093","145.06096","145.06071","145.0609","145.061","145.06094","145.06094","145.06093","145.06123","145.06104","145.06091","145.06085","145.06097","145.06093","145.06107","145.05089","145.06099","145.06084","145.06088","145.06091","145.06096","145.06079","145.061","145.06096","145.06087","145.06099","145.0609","145.06096","145.06096","145.06094","145.06081","145.06097","145.0609"
"167",167,"162","19.856","145.98254","Unknown","[M-H]-","","0.2","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","18.28","190715_Blk_KM1906U14-Blk_C","145.98254:1962374 146.98589:0 147.98925:0","","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98277","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98253","145.98254","145.98257","145.98259","145.98265","145.98271","145.98267","145.98254","145.98254","145.9825","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98259","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254","145.98254"
"168",168,"163","10.97","146.04506","Unknown","[M-H]-","adduct linked to 105_[M-H2O-H]-","0.98","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","26.38","190715_Poo_QC-KM1906_F","146.04506:5618160 147.04841:856590 148.05177:147689","","146.04506","146.04492","146.04492","146.04506","146.04507","146.04507","146.04512","146.04492","146.04491","146.0451","146.04495","146.04503","146.04504","146.04495","146.045","146.04506","146.045","146.04498","146.04494","146.04503","146.04495","146.04501","146.04498","146.04495","146.04497","146.04495","146.04495","146.04503","146.04491","146.04492","146.04503","146.04494","146.04492","146.04491","146.04489","146.04494","146.04501","146.04503","146.04497","146.04492","146.04492","146.04492","146.04498","146.04489","146.04497","146.04498","146.045","146.04488","146.04506","146.04491"
"169",169,"164","4.679","146.96504","Unknown","[M-H]-","","0.8","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","3815.21","190715_Smp_FK180310S62C1-DCM_C","146.96504:1544214 147.96839:0 148.97175:0","","146.96497","146.96504","146.96503","146.96523","146.96518","146.96512","146.96518","146.96486","146.965","146.96509","146.96518","146.96507","146.96512","146.96503","146.96503","146.96509","146.96507","146.96504","146.96501","146.96501","146.965","146.96504","146.96498","146.96495","146.96503","146.9651","146.9651","146.9651","146.96506","146.96503","146.96504","146.96512","146.96504","146.96503","146.96498","146.96484","146.96501","146.96497","146.9651","146.96507","146.96504","146.96504","146.96504","146.96504","146.96504","146.96504","146.96504","146.96504","146.96504","146.96497"
"170",170,"165","9.007","146.96591","Unknown","[M-H]-","similar chromatogram in higher mz_552","0.2","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","604.07","190715_Smp_FK180310S77C1-25m_A","146.96591:112070 147.96926:0 148.97262:0","","146.96591","146.96591","146.96591","146.96591","146.96591","146.9653","146.96591","146.96588","146.96614","146.96591","146.96591","146.96591","146.96591","146.96591","146.96591","146.96626","146.96591","146.96591","146.96591","146.96591","146.96591","146.96591","146.96611","146.96591","146.96591","146.96622","146.96591","146.96591","146.96591","146.96591","146.96591","146.96591","146.96591","146.96591","146.96591","146.96591","146.96599","146.96614","146.96608","146.96591","146.96591","146.96591","146.96591","146.96591","146.96591","146.96591","146.96591","146.96591","146.96591","146.96591"
"171",171,"166","11.882","147.02901","Unknown","[M-H]-","","0.92","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","11.57","190715_Smp_FK180310S64C1-DCM_C","147.02901:1733832 148.03236:204470 149.03572:0","","147.02908","147.02892","147.02893","147.02907","147.02901","147.02902","147.02913","147.02899","147.02904","147.02911","147.02901","147.02904","147.02905","147.02893","147.02898","147.02911","147.02904","147.0291","147.02901","147.0291","147.02899","147.02901","147.02901","147.02901","147.02898","147.02914","147.02907","147.02901","147.02896","147.02898","147.02905","147.02899","147.02898","147.02901","147.02895","147.02902","147.02908","147.02901","147.02907","147.02899","147.02898","147.02892","147.02895","147.0289","147.02902","147.02895","147.02902","147.02885","147.0291","147.02888"
"172",172,"167","9.41","148.86284","Unknown","[M-H]-","","0.72","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","5582.41","190715_Smp_FK180310S77C1-25m_A","148.86284:840573 149.86619:0 150.86955:109399","","148.86284","148.86284","148.86287","148.86295","148.86284","148.86298","148.86284","148.86284","148.8629","148.86295","148.86284","148.86295","148.86288","148.86275","148.86287","148.86284","148.86284","148.86284","148.86278","148.86288","148.86285","148.86292","148.86288","148.86284","148.8629","148.86296","148.86293","148.86295","148.86284","148.86285","148.86284","148.86298","148.86284","148.86284","148.86287","148.86287","148.86292","148.86288","148.8629","148.86284","148.86284","148.86284","148.8629","148.86273","148.86284","148.86284","148.86284","148.86284","148.86299","148.86284"
"173",173,"168","3.38","148.92339","Unknown","[M-H]-","","0.26","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","1337.47","190715_Smp_FK180310S64C1-25m_B","148.92339:290390 149.92674:0 150.9301:277814","","148.92339","148.92339","148.92339","148.92339","148.92339","148.92339","148.92339","148.92339","148.92339","148.92378","148.92339","148.92339","148.92339","148.92339","148.92339","148.92339","148.92339","148.92339","148.92328","148.92339","148.92349","148.92339","148.92334","148.92339","148.92334","148.92339","148.92339","148.92342","148.92339","148.92339","148.92339","148.92336","148.92339","148.92339","148.92339","148.92339","148.92339","148.92339","148.92332","148.92346","148.92339","148.92339","148.92339","148.92339","148.92339","148.92339","148.92339","148.92339","148.92339","148.92339"
"174",174,"169","19.364","148.96083","Unknown","[M-H]-","","0.3","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","7.74","190715_Smp_FK180310S77C1-25m_A","148.96083:707453 149.96418:84506 150.96754:55663","","148.96103","148.96083","148.96083","148.96083","148.96083","148.96083","148.96109","148.96083","148.96094","148.96107","148.96083","148.96083","148.96098","148.96083","148.96083","148.96083","148.96083","148.96097","148.96083","148.96083","148.96094","148.96083","148.96107","148.96083","148.96097","148.96083","148.96083","148.96083","148.96083","148.96095","148.96092","148.96083","148.96083","148.96095","148.96083","148.96083","148.96107","148.96098","148.96083","148.96083","148.96083","148.96083","148.96083","148.96083","148.96083","148.96083","148.96083","148.96083","148.96083","148.96083"
"175",175,"170","12.91","148.96092","Unknown","[M-H]-","","0.3","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8.3","190715_Smp_FK180310S80C1-25m_A","148.96092:815231 149.96427:105318 150.96763:113886","","148.96094","148.96092","148.96092","148.96092","148.96092","148.96092","148.96092","148.96094","148.96097","148.96092","148.96097","148.96092","148.96092","148.96086","148.96092","148.96092","148.96098","148.96092","148.96094","148.96092","148.96088","148.96092","148.96092","148.96092","148.96092","148.96092","148.96095","148.96092","148.96092","148.96092","148.96098","148.96092","148.96092","148.96092","148.96092","148.96092","148.96092","148.96095","148.96097","148.96094","148.96092","148.96092","148.96092","148.96092","148.96092","148.96092","148.96092","148.96092","148.96092","148.96092"
"176",176,"171","14.176","148.96097","Unknown","[M-H]-","","0.26","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.38","190715_Std_4uMStdsMix1InMatrix_2","148.96097:851837 149.96432:81427 150.96768:92959","","148.96095","148.96097","148.96097","148.96097","148.96097","148.96097","148.96097","148.96091","148.96097","148.96115","148.96097","148.96097","148.96097","148.96097","148.96106","148.96097","148.96094","148.96103","148.96097","148.96097","148.96097","148.96101","148.961","148.96097","148.96092","148.96097","148.96097","148.96097","148.96097","148.96097","148.96097","148.96097","148.96097","148.96097","148.96092","148.96097","148.961","148.96098","148.96097","148.96097","148.96097","148.96097","148.96097","148.96097","148.96097","148.96097","148.96097","148.96097","148.96097","148.96097"
"177",177,"172","9.825","148.96115","Unknown","[M+Cl]-","adduct linked to 30_[M-H2O-H]-","0.64","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.39","190715_Poo_TruePooFK180310_DDAneg20","148.96115:780395 149.9645:82458 150.96786:924096","50.23009:6685 55.7096:6659 74.99261:215023 75.22074:7428 85.95563:7995 89.56375:7062 90.17944:8126 104.53531:7369 105.13583:7358 112.37316:8271 143.9843:7223 148.96104:464562","148.96101","148.96115","148.96097","148.96115","148.96115","148.96115","148.96111","148.96115","148.96088","148.96114","148.96104","148.96107","148.96114","148.96097","148.96095","148.96115","148.96115","148.96094","148.96095","148.96115","148.96094","148.96115","148.96103","148.96115","148.961","148.96097","148.96111","148.96106","148.96091","148.96115","148.96107","148.96091","148.96115","148.96094","148.96091","148.961","148.961","148.96115","148.96095","148.96101","148.96115","148.96115","148.96097","148.96095","148.96115","148.96115","148.96115","148.96115","148.96111","148.96115"
"178",178,"173","6.851","150.04121","Ingalls_Guanine","[M-H]-","","0.94","True","8.135","150.0412","","","","","430","True","True","True","","False","False","null","null","90.3","100","90.5","85.8","69.2","34.07","190715_Poo_TruePooFK180310_DDAneg35","150.04134:2434674 151.04469:164465 152.04805:58441","62.60452:6748 62.64757:6559 66.00854:15954 67.02901:28396 69.08047:6887 69.75928:7399 76.3582:6543 82.03991:10832 91.02898:10667 106.00371:20383 106.06514:36294 107.03528:58292 108.01922:67658 108.05569:31376 109.03944:8500 109.54231:7589 126.02986:102416 133.01465:791675 136.73705:9507 149.96115:7143 149.99402:13164 150.00049:10694 150.04134:365909 150.05525:23562 150.06676:8435","150.04121","150.04123","150.04121","150.04132","150.04134","150.04134","150.0414","150.04121","150.04126","150.04141","150.04126","150.04129","150.04128","150.04123","150.04129","150.04138","150.04128","150.04126","150.0412","150.04129","150.04121","150.04123","150.04124","150.0412","150.04124","150.04132","150.04129","150.04126","150.04123","150.04126","150.04137","150.0412","150.04129","150.04128","150.04123","150.0412","150.04129","150.04123","150.04123","150.04126","150.04121","150.04121","150.04129","150.04123","150.04128","150.04121","150.04124","150.04118","150.04128","150.04129"
"179",179,"174","9.133","150.88579","Unknown","[M-H]-","","0.24","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","2665","190715_Smp_FK180310S77C1-25m_C","150.88579:1040684 151.88914:0 152.8925:3820945","","150.88579","150.88579","150.88579","150.88579","150.88588","150.88579","150.88585","150.88579","150.88579","150.88586","150.88582","150.88583","150.88585","150.88579","150.88576","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579","150.88574","150.88579","150.88585","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579","150.88573","150.88579","150.88576","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579","150.88579"
"180",180,"175","9.652","150.94971","Unknown","[M-H]-","","0.9","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","318.46","190715_Poo_TruePooFK180310_DDAneg20","150.94971:1140923 151.95306:248814 152.95642:527568","61.14511:7447 66.83864:7430 67.92075:6230 69.01378:7171 76.9901:11733 83.53291:7940 88.97228:7586 92.95879:90520 114.80862:6922 118.89877:35240 133.69711:6956 136.01532:13011 142.69098:8040 150.94963:789128 150.95773:27804 151.03958:7738","150.94954","150.94955","150.9496","150.94971","150.94971","150.94972","150.94971","150.94957","150.94958","150.94969","150.94971","150.94965","150.94966","150.94951","150.94955","150.94972","150.94957","150.94955","150.94955","150.94962","150.94951","150.94958","150.94962","150.94968","150.94955","150.94968","150.94966","150.94955","150.94946","150.94957","150.94963","150.94954","150.94949","150.94952","150.94952","150.94958","150.94962","150.94962","150.94955","150.94957","150.94971","150.94971","150.94958","150.94954","150.94971","150.94971","150.94954","150.94952","150.94958","150.94958"
"181",181,"176","7.25","151.02518","Unknown","[M-H]-","","0.32","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.46","190715_Smp_FK180310S62C1-DCM_B","151.02518:649667 152.02853:0 153.03189:314939","","151.02518","151.02531","151.02527","151.02542","151.02518","151.02518","151.02518","151.02518","151.02528","151.02533","151.02518","151.02518","151.02518","151.02504","151.02518","151.02518","151.02518","151.02518","151.02518","151.02518","151.02518","151.02519","151.02518","151.02525","151.02521","151.02518","151.02533","151.02533","151.02518","151.02518","151.02518","151.02518","151.02518","151.02518","151.02518","151.02518","151.02518","151.02518","151.02518","151.02518","151.02518","151.02518","151.02527","151.02518","151.02518","151.02518","151.02538","151.02528","151.02518","151.02518"
