"","X.31","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29","X.30","Class","X1","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X1.10","X1.11","X1.12","X1.13","X1.14","X1.15","X1.16","X1.17","X1.18","X1.19","X1.20","X1.21","X1.22","X1.23","X1.24","X1.25","X1.26","X1.27","X1.28","X1.29","X1.30","X1.31","X1.32","X1.33","X1.34","X1.35","X1.36","X1.37","X1.38","X1.39","X1.40","X1.41","X1.42","X1.43","X1.44","X1.45","X1.46","X1.47","X1.48","X1.49","NA.","NA..1"
"106",106,"101","9.795","127.0503","Unknown","[M-H2O-H]-","adduct linked to 161_[M-H]-","0.2","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","4.21","190715_Smp_FK180310S62C1-DCM_B","127.0503:373628 128.05365:47356 129.05701:198133","","348089","884887","3593472","5059946","968923","723537","545950","333830","2811073","1515998","187342","173245","768675","112054","1451948","2118827","5999562","2440735","6949382","2568500","10030094","1215303","1571287","1470454","3702218","1260387","3407670","3815610","2901958","3414406","2124463","1702464","1566776","2236239","4905140","3323639","2247862","453386","1483417","1731298","358299","504792","796153","426828","420985","506968","1504679","355845","927732","316026","2004767.09515625","1960419.3571984"
"107",107,"102","9.294","127.94243","Unknown","[M+Cl]-","ion correlated with 503; ion correlated with 544; ion correlated with 520; ion correlated with 516; ion correlated with 445; ion correlated with 418; ion correlated with 530; ion correlated with 548; ion correlated with 501; adduct linked to 20_[M-H]-","0.52","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","329.41","190715_Smp_FK180310S64C1-DCM_B","127.94243:203250 128.94578:0 129.94914:27587","","269520","0","24424","48940","407521","184994","424518","1455458","1292581","5010650","503261","595951","375153","261515","360698","1237134","463188","3294566","974659","1407323","1696871","5290236","2953598","1912215","814123","1107094","6322017","4790592","2782019","1648530","1340821","1172134","805764","5542287","4121627","909178","1262972","1321188","3404788","416659","0","41446","45528","28227","41130","47060","24777","0","0","40012","1369498.97195312","1678388.67903497"
"108",108,"103","6.477","128.03427","w/o MS2:Ingalls_L-Pyroglutamic acid","[M-H]-","","0.58","False","7.461","128.03419","","","","","530","True","True","False","","False","False","null","null","100","100","null","null","null","65.77","190715_Std_4uMStdsMix1InMatrix_1","128.03427:5552664 129.03762:683281 130.04098:116403","","8151292","87555680","1379900","180852096","686652","358551","631081","12287985","9003597","17045298","202214","226077","1101457","7275172","6510412","1663375","15195378","10773791","28387006","1203036","18035872","2200943","9912724","994904","20090684","1491801","17753490","5209606","13754495","924349","18038554","11409133","948679","20246962","12695901","6552972","17408042","2162483","1890269","1764986","98694048","91577544","165025040","141132592","229447","448925","68122960","55765360","38894280","50047876","25678299.41875","42630305.2471548"
"109",109,"104","10.084","128.03429","Unknown","[M-H]-","","0.82","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","15.17","190715_Std_4uMStdsMix1InMatrix_1","128.03429:688392 129.03764:313541 130.041:0","","320735","9339044","12275849","644377","97826","96115","984047","6413282","8760478","6451510","195589","124185","840903","2090900","2062270","3704690","3866772","6966372","9192405","6825122","10364198","6810557","5674826","6412388","5706734","7536741","5050665","6526454","5827082","7766274","7319046","7586090","8053090","6280869","6320430","8667153","6074512","4370699","5764922","4472614","1625251","161958","11104568","9645533","53313","42074","6309388","5597314","7362165","5366140","5222110.3784375","3334480.78616763"
"110",110,"105","10.775","128.03432","Unknown","[M-H2O-H]-","adduct linked to 163_[M-H]-","0.74","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","11.99","190715_Poo_QC-KM1906_F","128.03432:855791 129.03767:694941 130.04103:61260","","7627891","8249510","12682418","14772554","311772","273054","1073004","4769796","2824560","3633019","646295","589382","833122","4794544","1600691","1175477","5283516","3850434","3947373","2198976","7841949","3826688","2429215","3233239","3958116","1521926","2637958","3327978","3053468","1457883","2132272","2735486","4743500","3408066","3152556","4537894","3063847","2877697","5885303","6615940","4674014","4325901","8128486","4645814","58701","103262","6228204","4583172","5728234","4555083","3932184.89515625","2939206.98268864"
"111",111,"106","5.792","128.03433","Unknown","[M-H]-","similar chromatogram in higher mz_394","0.6","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","35.34","190715_Poo_QC-KM1906_F","128.03433:4618812 129.03768:739562 130.04104:125473","","159594","66649","163011488","184793008","1760060","2423401","1123947","21819776","11819669","18961376","1164352","925841","4916066","311425","6146433","7376667","20536554","18399424","45960968","11047239","26523042","30990748","20161728","13525675","24930088","5400050","4239206","16501739","19672124","11075576","34225588","14484448","4478526","21072944","20678794","14922222","21164852","3129372","17369950","12827708","53481","154281","104652","189458","658271","1210344","495373","1570202","255533","295354","17301705.3451562","34101038.3649654"
"112",112,"107","8.859","128.89114","Unknown","[M-H]-","","0.66","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","135054.66","190715_Smp_FK180310S62C1-25m_A","128.89114:36691960 129.89449:4606920 130.89785:41678740","","994098304","0","574041920","747912896","57365020","71869192","46978000","1262031872","1223876480","382770656","175295328","37011280","165517568","853443264","547433216","120403128","1440366720","760121536","160779664","219146624","343051072","660568512","407820256","112643320","1279282560","401433568","392369120","454535616","718349888","427834080","642627776","136538464","59259212","448731872","428638240","294587424","412832832","404736768","431037536","1278265984","41444","0","1117550208","727293248","0","0","1125953024","781798272","37057","644725312","479460106.658203","408657817.568772"
"113",113,"108","9.528","128.89116","Unknown","[M+Cl]-","ion correlated with 116; adduct linked to 22_[M-H]-","0.86","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","422714.84","190715_Poo_TruePooFK180310_DDAneg20","128.89122:43743944 129.89457:5451963 130.89793:49362900","76.71497:11511 80.04651:9882 84.44147:11781 92.40051:11776 95.47401:10978 97.696:12265 98.69398:11932 108.50397:11593 128.5123:18266 128.51735:35901 128.8134:47406 128.89122:26865778 128.96616:38261 128.97115:25422","526302080","1409708800","574041984","418494816","472343136","457760960","489365440","1141722112","1203428864","1135257728","74663336","638700224","456041536","429825120","547433152","732519936","939430528","952956992","776417408","627267136","284681024","692667648","975019456","480952224","1327454464","845281088","681739584","679701504","1187697152","724377920","1191401344","605354624","676503168","983593600","1067259520","777288832","1146543104","586559424","793729728","906300288","47126","0","1117735040","759889536","0","38984","1126846976","817419904","1124560896","736251840","726011545.725312","357818410.454074"
"114",114,"109","14.354","128.96696","Unknown","[M-H]-","","0.32","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","585.89","190715_Poo_QC-KM1906_D","128.96696:205204 129.97031:0 130.97367:0","","46394","2081422","2053441","943178","249406","164504","67024","583615","951675","983695","219056","494951","133228","98452","816857","650519","2107083","1497074","778332","56662","70945","1961726","541737","108712","1984292","476612","1339667","912697","770555","1371020","949378","49230","108198","1224961","2046547","49339","1568723","810112","793829","2699858","2480664","2607270","1352936","213993","776923","1349472","2045121","2492455","977617","75062","983724.357578125","804832.910396127"
"115",115,"110","9.376","128.9982","Unknown","[M-H]-","","0.46","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","138.26","190715_Poo_TruePooFK180310_Fullneg60","128.9982:278550 130.00155:0 131.00491:199519","","53852","117086","149751","44625","1233498","1200944","1307416","788966","635161","1463903","1286600","1152977","886752","118020","34957","168071","115083","1614272","296524","675937","912321","899585","1349542","614225","664295","773805","1346332","601345","1500214","844678","723141","303276","575414","1197802","1182788","420477","645182","202406","1285099","238395","474282","554326","194110","166820","122141","387124","81530","460524","94118","32474","643843.396054687","479507.754016727"
"116",116,"111","13.626","129.01833","Unknown","[M-H]-","","0.24","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","15.64","190715_Std_4uMStdsMix1InH2O_1","129.01833:2078044 130.02168:490565 131.02504:575920","","286873","82646","220588","1048487","386793","945794","273559","308557","445004","633846","219437","513537","108287","108924","485083","1495412","104404","374527","1000599","701969","128928","623058","131070","242860","86677","324200","448733","966700","751601","158105","1513894","1171010","2333598","531985","364567","191529","152913","898055","1692485","388637","33528762","24363632","36461496","23656494","317780","197565","409283","61596","247443","372224","2849224.15789062","8112312.9964504"
"117",117,"112","2.711","129.05975","Unknown","[M-H]-","","0.9","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","30.45","190715_Poo_TruePooFK180310_DDAneg20","129.0598:2246664 130.06315:173036 131.06651:0","52.10853:6018 59.01271:12040 65.51514:6156 65.72171:6939 68.3191:7049 85.02833:24216 85.06477:13785 91.3793:6656 111.04421:16472 120.3521:6992 129.05469:32757 129.05971:157333 129.09123:24696","53262608","29136966","51433348","63477384","20074484","11522339","19859358","50858256","41376472","52438180","5435891","13923446","20737234","13169072","24116280","17948802","48236784","62100212","27690294","32368226","64398324","59714792","62494772","38048460","26976378","44466512","56120660","61767804","58017388","36977248","41315428","52562280","41740896","66941496","53136364","51339088","53082204","49192404","36561584","48452128","1199429","915389","22068320","16237782","3100020","2151589","17048040","17015172","17136082","17962124","35546115.86","19896928.2430399"
"118",118,"113","8.767","129.89197","Unknown","[M-H]-","","0.4","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","17371.65","190715_Poo_TruePooFK180310_DDAneg20","129.892:1301557 130.89535:11240007 131.89871:1233425","56.01793:6403 59.82638:6060 65.01339:28299 82.89449:6225 89.01342:15304 94.84252:7349 97.97433:7118 129.892:740823 130.04019:80044","0","0","191226160","81562608","10722014","5579238","10585956","125201240","58903232","26663014","3784413","2852952","23159600","63058964","33949708","62780204","114054016","50260788","18011726","22392344","10516633","80144864","42846732","8221402","160732512","15170291","89038520","13708065","33041140","20489890","51183908","43444652","5677752","73140176","49536952","47966612","48222780","49921924","41688120","64147284","0","55805","137623568","81855672","0","0","137134736","86944760","137702960","62483728","49947792.3103125","47142914.5988746"
"119",119,"114","3.266","130.04988","Unknown","[M-H]-","","0.28","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","14.06","190715_Std_4uMStdsMix1InH2O_2","130.04988:3652480 131.05323:289626 132.05659:329924","","3044194","828633","1162130","936641","237656","72342","148152","1175745","837272","1844926","257049","606256","410485","1639598","1703060","538367","1303286","1130098","1092787","467143","1847276","914763","178056","638942","435729","465576","1300730","466966","1488047","806553","618460","1791071","1671663","1116361","913055","1713947","555042","905557","924584","502182","108296672","110633520","74946416","49966528","1272210","1441890","1389098","1762181","1333043","1331164","7821262.07953125","24364313.063531"
"120",120,"115","5.418","130.08635","Unknown","[M-H]-","","0.62","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","13.03","190715_Std_4uMStdsMix1InMatrix_1","130.08635:1690349 131.0897:108368 132.09306:0","","53779","13285176","13133912","14517901","147160","138771","144368","3428765","2913305","3551764","59749","351088","587758","68885","170922","796444","4152484","1904776","12849289","149315","8357800","2443282","768435","1300311","4661662","754991","2218836","173574","233190","55925","840569","651098","182836","134699","1471734","5200361","4424336","43265","736379","996630","39769664","38272892","42260296","38319844","0","55976","4021996","45980","4968219","6808096","5651569.711875","10811684.0297323"
"121",121,"116","9.51","130.8882","Unknown","[M+Cl]-","adduct linked to 28_[M-H]-","0.9","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","380582.81","190715_Poo_TruePooFK180310_DDAneg20","130.88829:48242840 131.89164:5530872 132.895:20621610","65.01337:15694 73.64:6912 79.56666:6453 85.06467:8549 87.04404:110871 89.01338:31758 108.28757:7314 130.88835:390721 131.03522:65069","845761408","1584324864","525283616","861910528","505491776","134197144","538206720","1238842880","1330758272","1195923968","82856968","717305984","501614176","482578304","829422464","808481984","1042093952","1090923136","866223616","698728000","382288160","763582720","1093670016","537927360","1468291328","942190400","744068928","746386240","1307122560","807004160","1317474176","673310976","752511360","1129587456","1176657408","863516864","1269897088","647612480","868219584","1036136960","0","0","1255162368","858147008","0","45574","1269161728","919360384","1265889536","826528000","816053611.636484","401819236.726881"
"122",122,"117","8.832","130.88821","Unknown","[M-H]-","","0.62","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","99583.74","190715_Smp_FK180310S62C1-25m_A","130.88821:40657372 131.89156:4181491 132.89492:16801342","","0","0","1064445312","461855872","73190288","43041516","28369584","1439094912","1369003008","785864640","33686720","304497984","484372256","0","257329744","133965600","439936960","841342016","190139232","244960080","60175744","732238528","171726288","60405936","321459744","154714960","434219648","489626432","1243922432","472871392","436773280","311504224","123846016","492013120","242597904","328268448","482178016","470870528","650454144","1402325888","0","0","1244103168","737503680","0","45574","1246482944","47627","1244243072","594725248","446888794.172656","436689513.393018"
"123",123,"118","9.206","130.99518","Unknown","[M-H]-","","0.38","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","289.79","190715_Poo_TruePooFK180310_Fullneg60","130.99518:176465 131.99853:0 133.00189:22080","","37711","56495","0","22955","732769","6947","760120","499208","440256","28409","761512","765769","598043","0","21188","16184","30886","138637","12340","346165","586115","654745","59469","403841","424816","17531","1199971","30291","290487","584835","14789","11912","283913","1089619","1490615","21352","365902","527952","1042406","166276","0","0","20793","29485","0","54150","25529","32218","26911","30381","295237.964667969","374772.625212103"
"124",124,"119","5.827","131.08337","Unknown","[M-H]-","","0.5","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8.65","190715_Smp_FK180310S64C1-DCM_C","131.08337:171687 132.08672:0 133.09008:0","","725736","0","383070","948869","173700","221560","218924","2495680","1605746","2193086","108500","166850","176631","474441","408874","99464","2183268","908339","1525784","1341220","2350974","903828","1615701","1671854","996092","687024","1778573","2476053","1878879","1903958","1399448","992467","2143531","1392639","2049618","1753346","1076706","1021405","826628","1723051","1501296","1107386","1406848","494737","58837","70054","60562","51562","61693","109726","1038484.3828125","777121.853323951"
"125",125,"120","11.284","132.02924","Unknown","[M-H]-","","0.78","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","25.74","190715_Std_4uMStdsMix1InMatrix_1","132.02924:1140444 133.03259:0 134.03595:204944","","110620","8670846","12192801","12826838","886189","371470","274845","7270544","5287940","2752177","542723","371564","770283","2936137","3003247","513386","14989569","8750014","16230748","2311144","8025532","3220535","3007200","5492490","9354160","669367","1707478","1707468","4128170","1166550","4513868","1587580","2886286","3082710","2491388","4911520","2996228","295674","1448120","4686214","7304820","6053728","14615888","11024956","52239","58375","6881546","5378752","6663354","4149844","4612502.46367188","4277218.46020465"
"126",126,"121","8.758","132.88535","Unknown","[M-H]-","","0.62","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","322.59","190715_Smp_FK180310S62C1-25m_A","132.88535:16984844 133.8887:1590052 134.89206:2942881","","0","0","276916192","245424144","32925850","19900852","18286336","639816000","137205792","366302304","18800832","13699854","70091232","0","68058880","120595192","183230672","422357664","105032768","46344196","123543296","339848096","76257672","74719568","107270224","225629584","367335840","60338928","214991616","134145952","331822336","136107184","40810396","54222704","85728112","69565496","405188544","101428848","223275632","617580224","426753","1698516","531970816","295499968","0","0","533686688","326617280","527247712","0","175838934.894375","180883364.306902"
"127",127,"122","12.735","132.98326","Unknown","[M-H]-","","0.36","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","8.83","190715_Std_4uMStdsMix1InMatrix_2","132.98326:5371996 133.98661:1429890 134.98997:1885022","","17399348","38660288","23968694","12872856","5751194","3124338","7267122","14205074","17289794","10725204","3435992","12266742","21540102","5789028","6639342","10864189","37406888","12891838","6733630","3437335","4108919","20498872","11029740","2100791","15377604","6240686","18947328","11176098","21329090","16891604","20288798","7073493","4355288","21893056","11062215","10510461","12230332","17358614","8198646","10675709","18662654","77974840","11117798","52073072","27944506","41423128","17419214","28815842","33452160","43791996","17525831.05","14395484.7152912"
"128",128,"123","19.394","132.98335","Unknown","[M-H]-","","0.26","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.9","190715_Smp_FK180310S64C1-25m_C","132.98335:1629550 133.9867:324873 134.99006:537070","","14173617","29518230","9211222","19571896","4993338","3079543","1722230","9472710","15503993","14174885","2517733","4076739","20923912","8074672","4450961","16201455","20819654","17831320","3016444","2443436","1452401","9731035","10796373","42988","11712263","5704752","41093568","7788142","25120508","18237016","36038008","4085008","1913631","9516043","24112566","8755115","20411286","19192542","10614280","11516692","11524530","35647924","19993670","15409823","11634780","44197168","9235868","14088346","28918870","22123950","14247742.7513281","10562279.0078586"
"129",129,"124","9.814","132.98337","Unknown","[M-H]-","","0.66","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","10.42","190715_Smp_FK180310S62C1-25m_A","132.98337:3661024 133.98672:885603 134.99008:1335026","","40732368","95485184","27687674","7835460","8860721","3647968","5296354","32727746","32546688","25441348","3835952","11339094","8840938","23847858","23577460","14759123","35318248","21289934","14707574","6632230","4177866","19236382","16244857","1350114","50307968","12299082","25257876","28965104","18290464","26803304","25225526","10864977","2970111","21936376","46666200","11068755","24299824","21950406","10669416","17911274","8909428","39805404","38468372","75876696","17625878","25310024","26353548","85855240","32854466","82360072","25486498.62","21307341.8067491"
"130",130,"125","14.187","132.98337","Unknown","[M-H]-","","0.34","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","7.55","190715_Smp_FK180310S62C1-25m_A","132.98337:2196430 133.98672:494838 134.99008:446879","","43663740","67827536","19271322","6163473","1915720","2563359","803722","7033030","33488784","34334388","2276793","2238968","12798058","17536426","9509748","15608062","50745760","16931010","3782416","4860751","1702166","26600728","3816568","299384","15944481","4524890","18520024","7100782","20294476","27543790","18925386","6538566","1063476","26396360","11758214","3867247","27815764","23722470","5529326","16570314","25499938","24188290","719058","78216096","14556125","44291164","25531322","32545076","20640628","49961960","18760742.674375","17503394.3558956"
"131",131,"126","14.244","132.98344","Unknown","[M-H]-","","0.2","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","4.34","190715_Poo_TruePooFK180310_Full3","132.98344:1554970 133.98679:448611 134.99015:569625","","0","67827536","11561968","9253448","4169902","3002792","2633500","7033030","29045710","13813335","2394193","1226884","4677779","22932772","13245324","15608062","16188075","15862470","2427195","4065810","1702166","13498628","3816568","299384","30705780","4437858","18520024","5657470","16295370","25737768","18925386","3322032","1566432","11918492","11237271","3867247","26943170","8931924","8088234","5359491","25499938","28112108","719058","78216096","14556125","44291164","25531322","79428784","69823960","49961960","17678819.901875","20155074.7927276"
"132",132,"127","9.006","133.88602","Unknown","[M-H]-","","0.3","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","7424.74","190715_Smp_FK180310S80C1-DCM_B","133.88602:1534983 134.88937:3255919 135.89273:136024","","0","10423872","24508944","8941780","2287580","4368192","1479158","6054926","10866209","16501991","7433992","1892091","4963602","20702148","8207626","30730552","26903922","11599435","6919902","3383273","9492550","11665472","13266917","4176355","19207424","6912424","15391696","22439642","12441779","11220158","15907318","3131070","3639514","12144448","8560367","16049316","16638244","14629241","32335034","18600600","55501","0","36726208","0","46048","0","36299192","0","34692208","0","11676758.4135156","10332551.3633086"
"133",133,"128","13.538","133.98407","Unknown","[M-H]-","","0.42","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","5.94","190715_Std_4uMStdsMix1InMatrix_2","133.98407:1227953 134.98742:1347816 135.99078:266013","","4212164","26766240","226688","5389671","27072","865094","20753","100447","1806878","2878973","1145256","133931","2735078","2114544","79076","4302551","10270263","4390456","130940","64299","0","6028674","205612","0","644374","69523","2122087","754236","3040610","4054274","0","2381070","87765","5550964","5059373","2781376","972576","3714579","1675524","3633583","3132178","9805130","4851531","26863076","3387557","5417584","3904223","16768282","4769003","16156215","4109827.09910156","5938274.43888874"
"134",134,"129","9.957","133.98413","Unknown","[M-H]-","","0.42","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","5.95","190715_Poo_QC-KM1906_D","133.98413:1561267 134.98748:1787456 135.99084:239457","","11396238","20770610","13087058","7395998","2640754","2614194","492931","3066402","6476272","4679132","841712","1030271","1636732","4878249","4366938","7002484","4116856","2732299","881204","1408887","1068131","2356185","4266754","207988","8273499","1599298","6832562","3092038","5508310","3915959","12388857","1491236","1050809","7767838","7101635","4379662","4288257","4423964","3068665","2842650","8212760","7634420","2545563","22489778","5567033","7496363","3425356","19864432","15538334","22181246","6047896.0165625","5668188.46525154"
"135",135,"130","3.656","134.04626","Unknown","[M-H]-","","0.58","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","19.76","190715_Std_4uMStdsMix2InMatrix_1","134.04626:9425607 135.04961:2753114 136.05297:728324","","3246725","94901440","86840448","96203624","945221","1125023","926926","5676990","10883679","10272913","989404","485144","4059146","931110","1813524","3500534","11891683","4628310","53980892","2486508","17663448","9705278","8650820","3403550","18593550","1708096","2570578","4659684","23359192","9640558","2840276","622374","2813404","8361720","9166325","10534501","9153600","1925146","8163218","2857402","172528432","174771152","207400832","221535536","83250872","105877272","260517408","104865808","66854856","42958072","39854844.08375","65066178.2835976"
"136",136,"131","8.439","134.89381","Unknown","[M-H]-","","0.58","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","80.84","190715_Poo_TruePooFK180310_DDAneg35","134.89381:8879140 135.89716:1081385 136.90052:3040240","50.94939:6890 52.75146:6315 52.95592:8233 54.75271:6960 74.65368:6196 74.99239:7896 75.28402:6754 83.81024:6984 92.03368:7797 96.56452:6912 99.9246:25535 110.80331:7321 134.89363:1099887 134.95976:36327 134.98085:144653 135.04391:10265","1235608","0","75589440","27693990","35272152","68456240","13885969","15479025","60262744","41253012","4760168","5717486","7152182","0","55668384","34429952","72491136","38564164","37817684","28440396","8385527","59274776","19424490","24011132","26279812","36951436","28517518","23372076","36456268","25554944","51809540","40972396","24434124","19496426","35067148","56140524","58651264","19180210","21065548","28582918","188673","0","1326152","39474","0","0","0","1062940","0","40614","25409113.2446875","22130316.1135758"
"137",137,"132","12.823","134.981","Unknown","[M-H]-","","0.48","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","6.91","190715_Poo_TruePooFK180310_DDAneg20","134.981:670962 135.98435:67773 136.98771:0","","4334891","16758690","5377650","6867600","1437414","1283655","411995","7056364","5557260","6113069","489211","1863655","2905270","2766118","1830736","6407048","6894166","6369764","1407360","1805631","523468","5033690","4198076","156360","6997192","1494164","5289606","1951828","5903150","4729988","5522678","1934539","709303","7825946","6118936","4058961","4223266","5612849","2349946","4549626","5843782","6839266","4187127","5791439","3551578","19549944","5921729","19543706","6103580","22034582","5329756.896875","4760457.82186039"
"138",138,"133","8.971","135.02884","w/o MS2:Ingalls_Allopurinol","[M-H]-","","0.22","False","4.16","135.0304","","","","","530","True","True","False","","False","False","null","null","99.8","99.9","null","null","null","10.53","190715_Std_4uMStdsMix1InH2O_1","135.02884:2072058 136.03219:656605 137.03555:79887","","111664","2839123","3907027","8075582","4626","8862","3871","10756","109780","45354","3393","7042","29744","30873","144521","215852","55032","48038","16592","34184","30973","55852","25574","165182","87687","94692","16125","122135","98621","77343","25140","38543","23485","95093","49211","105430","56533","35313","20506","144654","27795676","22968704","19755196","9312645","6226374","64706","42861","11931608","4595518","3111192","2457489.76388184","6020205.25412151"
"139",139,"134","9.287","135.89389","Unknown","[M-H]-","","0.28","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","650.93","190715_Poo_TruePooFK180310_DDAneg20","135.89389:1716940 136.89724:5699766 137.9006:576596","","520172","433750","889712","743957","12808345","985299","4034256","1257187","693164","4391543","723640","1305863","514891","653177","1461328","1198024","2527999","866119","2445178","311476","952553","1957058","914012","744392","745227","461006","1491930","1830188","3360639","2629211","1882648","537683","2559158","3256012","2059064","2866813","1932449","2335291","1028092","1897260","0","40934","2557046","929341","0","0","2203108","1293116","978532","26449","1644685.86574219","1925982.11760411"
"140",140,"135","19.325","135.94418","Unknown","[M-H]-","","0.48","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","9.21","190715_Smp_FK180310S62C1-DCM_A","135.94418:1099956 136.94753:0 137.95089:480649","","1025529","3532141","12826970","6834252","1119192","1030907","1162187","28807880","4498921","22230780","1020734","1142008","815309","1380920","3954866","7184930","10669316","4213104","11216815","21802666","2961064","12251433","6643547","13852648","2737287","1034152","464719","17494344","5362010","9678721","1919115","15790873","3731000","6181133","3930898","3027481","2155447","10122325","4811136","5577546","9936776","934569","3551846","1008710","8234579","1901708","7690528","1233880","17106554","1346217","6582833.52375","6506060.28695963"
"141",141,"136","9.776","135.97017","Unknown","[M-H]-","","0.24","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","2.69","190715_Smp_FK180310S62C1-25m_A","135.97017:315295 136.97352:111531 137.97688:0","","34498","40718","3259176","1563308","588082","186751","199068","5118468","2402560","2781049","148000","253697","535698","24861","739270","2683839","3672064","2215092","596125","2419255","2751589","2795178","2838444","2183374","2987548","1202992","2343579","2306058","2823376","1219995","2161148","1108130","677196","2457862","1735133","2741121","1651416","1595980","2447565","3119934","1336001","3297984","1447186","348252","1632170","1949246","2291826","391083","2686666","102107","1761834.28257812","1173351.88656434"
"142",142,"137","3.877","136.04028","Unknown","[M-H]-","","0.88","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","20.06","190715_Poo_TruePooFK180310_DDAneg20","136.04042:1753677 137.04377:130150 138.04713:354510","54.36137:6820 63.41164:7742 68.30791:6767 72.6562:7718 78.41328:7057 79.25252:6257 80.96407:14951 93.02132:38734 103.57785:6807 105.95876:9252 108.0323:121893 109.02944:50028 109.68626:7375 109.94098:164277 135.7849:7278 135.89389:22662 135.94427:55849 135.97006:116971 136.04036:805780 136.07581:166609","62641080","15718950","15936085","21852524","9400977","17235854","15954608","50683272","36544804","49854416","9661493","8894525","31598508","34106184","13567620","27628620","43107860","58713096","45912248","50962568","65651040","59678108","54693176","36982356","46271232","45052568","57520284","60693508","53614908","33106278","40915412","50071624","44094232","60310108","54030828","50789516","49963252","48208788","55429564","44795356","560305","1611661","619482","14394888","1548664","4175492","17050230","14619420","2107852","19689060","34164489.68625","20462094.2652943"
"143",143,"138","8.592","136.89079","Unknown","[M-H]-","","0.84","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","941.84","190715_Poo_TruePooFK180310_DDAneg20","136.89079:5164374 137.89414:576596 138.8975:274195","","5185175","11903325","13644583","6494346","11813261","22364536","16314929","2986507","7488765","8144340","4536374","2295202","3530468","9936166","8105731","7891571","2743256","7629653","5199220","14625738","11490916","3195892","4996706","67959480","14400139","19064012","3941443","2370786","2882510","13250716","13310897","11585584","14635923","6239296","8179808","14123992","4268876","4207436","9900648","3552259","0","0","7792933","2015637","0","45600","5109320","3929150","175224","6302211","8635210.8228125","10063746.0348605"
